City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
247,san patricio,94,US,1651344383,56,28.017,-97.5169,85.06,15.28
248,cockburn town,75,TC,1651344255,54,21.4612,-71.1419,82.36,17.27
249,ballina,100,AU,1651344179,96,-28.8667,153.5667,66.16,9.22
250,ha tinh,100,VN,1651344384,95,18.3333,105.9,75.27,1.36
251,metro,98,ID,1651344384,93,-5.1131,105.3067,75.16,4.76
252,valparaiso,0,CL,1651344132,55,-33.0393,-71.6273,65.84,10.36
253,tuatapere,100,NZ,1651344385,62,-46.1333,167.6833,61.05,10.49
254,constitucion,3,CL,1651344385,50,-35.3333,-72.4167,60.69,14.9
255,wanaka,100,NZ,1651344386,89,-44.7,169.15,52.92,7.52
256,tartus,18,SY,1651344386,83,34.889,35.8866,67.78,19.01
257,skibbereen,100,IE,1651344387,83,51.55,-9.2667,54.1,7.87
258,xapuri,100,BR,1651344387,49,-10.6517,-68.5044,88.99,3.18
259,manbij,100,SY,1651344388,74,36.5281,37.9549,64.24,15.79
260,richards bay,13,ZA,1651344388,75,-28.783,32.0377,67.21,10.47
261,yuanping,0,CN,1651344389,23,38.7153,112.7575,46.9,2.75
262,puertollano,91,ES,1651344389,71,38.6871,-4.1073,70.68,1.88
263,bredasdorp,9,ZA,1651344389,84,-34.5322,20.0403,56.61,5.32
264,straumen,71,NO,1651344390,80,63.8709,11.2999,42.8,7.85
265,rawson,100,AR,1651344205,44,-43.3002,-65.1023,58.14,19.62
266,huaiyin,100,CN,1651344391,75,33.5886,119.0192,53.65,2.77
267,macusani,31,PE,1651344391,54,-14.0833,-70.4333,50.77,5.77
268,puerto madryn,100,AR,1651344392,41,-42.7692,-65.0385,59.63,18.86
269,zhigansk,100,RU,1651344392,96,66.7697,123.3711,31.35,33.29
270,tonekabon,100,IR,1651344393,95,36.8163,50.8738,62.55,5.26
271,san policarpo,100,PH,1651344393,80,12.1791,125.5072,80.37,8.9
272,broome,0,US,1651344394,26,42.2506,-75.833,61.7,12.66
273,cheremukhovo,99,RU,1651344394,78,60.3484,59.9851,30.47,5.17
274,bosaso,21,SO,1651344202,69,11.2842,49.1816,84.92,1.41
275,dingle,100,PH,1651344395,86,10.9995,122.6711,76.98,5.88
276,vestmannaeyjar,75,IS,1651344395,81,63.4427,-20.2734,47.39,20.71
277,tateyama,100,JP,1651344396,69,34.9833,139.8667,57.92,8.81
278,springbok,1,ZA,1651344396,30,-29.6643,17.8865,57.29,6.53
279,nunkini,28,MX,1651344396,30,20.3333,-90.1833,99.61,3.65
280,oktyabrskiy,70,RU,1651344397,57,54.4815,53.471,43.92,2.98
281,nuuk,40,GL,1651344397,63,64.1835,-51.7216,25.41,16.11
282,talnakh,100,RU,1651344398,97,69.4865,88.3972,18.21,7.7
283,banda aceh,100,ID,1651344398,82,5.5577,95.3222,81.37,5.73
284,kirakira,100,SB,1651344399,81,-10.4544,161.9205,79.63,2.59
285,marsh harbour,100,BS,1651344399,83,26.5412,-77.0636,72.16,18.54
286,broken hill,0,AU,1651344400,87,-31.95,141.4333,49.71,4.61
287,ossora,54,RU,1651344400,90,59.2353,163.0719,19.96,5.53
288,tumut,0,AU,1651344401,85,-35.3,148.2167,44.29,3.65
289,boueni,8,YT,1651344401,79,-12.9025,45.0761,80.58,9.53
290,businga,96,CD,1651344402,84,3.3333,20.8833,74.59,2.84
291,katsuura,100,JP,1651344402,71,35.1333,140.3,56.52,7.7
292,buraydah,0,SA,1651344403,32,26.326,43.975,84.65,11.1
293,sarkand,100,KZ,1651344403,28,45.41,79.9186,63.82,7.78
294,mahebourg,40,MU,1651344130,83,-20.4081,57.7,77.29,12.66
295,paragominas,95,BR,1651344404,90,-2.9667,-47.4833,81.01,1.5
296,bara,89,NG,1651344404,34,10.3744,10.7288,92.26,9.95
297,alice springs,40,AU,1651344219,72,-23.7,133.8833,56.75,6.91
298,capitao poco,100,BR,1651344405,89,-1.7464,-47.0594,80.24,5.12
299,tucson,0,US,1651344121,10,32.2217,-110.9265,89.6,4.61
300,waipawa,38,NZ,1651344405,84,-41.4122,175.5153,47.25,8.66
301,luba,12,GQ,1651344406,83,3.4568,8.5547,80.83,5.77
302,paso de los toros,100,UY,1651344406,73,-32.8167,-56.5167,56.61,2.62
303,korla,3,CN,1651344407,28,41.7597,86.1469,59.61,4.27
304,nouakchott,1,MR,1651344407,59,18.0858,-15.9785,80.53,16.82
305,kopervik,0,NO,1651344408,81,59.2835,5.3067,48.33,17.27
306,ukiah,100,US,1651344364,65,39.1502,-123.2078,67.44,14.97
307,kruisfontein,8,ZA,1651344408,86,-34.0033,24.7314,55.89,8.03
308,willowmore,6,ZA,1651344409,53,-33.2926,23.4895,54.66,3.42
309,namibe,23,AO,1651344409,81,-15.1961,12.1522,74.89,5.01
310,vanimo,94,PG,1651344410,86,-2.6741,141.3028,76.86,3.94
311,geelong,100,AU,1651344410,82,-38.1471,144.3607,55.35,8.05
312,beoumi,71,CI,1651344411,73,7.6736,-5.5764,80.08,6.31
313,neustadt,0,DE,1651344411,65,49.7117,12.0872,56.59,10.36
314,xai-xai,99,MZ,1651344412,78,-25.0519,33.6442,73.18,17.54
315,raiwind,0,PK,1651344412,16,31.2544,74.2178,91.51,7.31
316,mount gambier,100,AU,1651344216,94,-37.8333,140.7667,55.31,8.05
317,mae sot,100,TH,1651344413,92,16.7167,98.5667,74.84,1.7
318,cowra,0,AU,1651344413,79,-33.8333,148.6833,44.83,2.15
319,antalaha,9,MG,1651344414,92,-14.9003,50.2788,73.81,5.61
320,east wenatchee bench,100,US,1651344414,80,47.4257,-120.2812,49.89,9.22
321,hanmer springs,11,NZ,1651344415,88,-42.5167,172.8167,48.81,6.8
322,basoko,58,CD,1651344415,93,1.2391,23.616,73.26,4.41
